"Statistic Label","Census Year","County","Age","Sex","UNIT","VALUE"
"Population","2011","Carlow County","Age 20-24","Males","Number","1877"
"Population","2011","Carlow County","Age 20-24","Females","Number","1739"
"Population","2011","Carlow County","Age 20-24","Both Sexes","Number","3616"
"Population","2011","Carlow County","Age 25-29","Males","Number","2012"
"Population","2011","Carlow County","Age 25-29","Females","Number","2087"
"Population","2011","Carlow County","Age 25-29","Both Sexes","Number","4099"
"Population","2011","Carlow County","Age 30-34","Males","Number","2260"
"Population","2011","Carlow County","Age 30-34","Females","Number","2303"
"Population","2011","Carlow County","Age 30-34","Both Sexes","Number","4563"
"Population","2011","Carlow County","Age 35-39","Males","Number","2192"
"Population","2011","Carlow County","Age 35-39","Females","Number","2119"
"Population","2011","Carlow County","Age 35-39","Both Sexes","Number","4311"
"Population","2011","Carlow County","Age 40-44","Males","Number","1982"
"Population","2011","Carlow County","Age 40-44","Females","Number","1947"
"Population","2011","Carlow County","Age 40-44","Both Sexes","Number","3929"
"Population","2011","Carlow County","Age 45-49","Males","Number","1813"
"Population","2011","Carlow County","Age 45-49","Females","Number","1788"
"Population","2011","Carlow County","Age 45-49","Both Sexes","Number","3601"
"Population","2011","Carlow County","Age 50-54","Males","Number","1641"
"Population","2011","Carlow County","Age 50-54","Females","Number","1646"
"Population","2011","Carlow County","Age 50-54","Both Sexes","Number","3287"
"Population","2011","Carlow County","Age 55-59","Males","Number","1460"
"Population","2011","Carlow County","Age 55-59","Females","Number","1416"
"Population","2011","Carlow County","Age 55-59","Both Sexes","Number","2876"
"Population","2011","Carlow County","Age 60-64","Males","Number","1310"
"Population","2011","Carlow County","Age 60-64","Females","Number","1270"
"Population","2011","Carlow County","Age 60-64","Both Sexes","Number","2580"
"Population","2011","Carlow County","Age 65-69","Males","Number","996"
"Population","2011","Carlow County","Age 65-69","Females","Number","1040"
"Population","2011","Carlow County","Age 65-69","Both Sexes","Number","2036"
"Population","2011","Carlow County","Age 70-74","Males","Number","800"
"Population","2011","Carlow County","Age 70-74","Females","Number","765"
"Population","2011","Carlow County","Age 70-74","Both Sexes","Number","1565"
"Population","2011","Carlow County","Age 75-79","Males","Number","535"
"Population","2011","Carlow County","Age 75-79","Females","Number","611"
"Population","2011","Carlow County","Age 75-79","Both Sexes","Number","1146"
"Population","2011","Carlow County","Age 80-84","Males","Number","358"
"Population","2011","Carlow County","Age 80-84","Females","Number","460"
"Population","2011","Carlow County","Age 80-84","Both Sexes","Number","818"
"Population","2011","Carlow County","Age 85 and over","Males","Number","222"
"Population","2011","Carlow County","Age 85 and over","Females","Number","424"
"Population","2011","Carlow County","Age 85 and over","Both Sexes","Number","646"
"Population","2011","Carlow County","Total","Males","Number","27431"
"Population","2011","Carlow County","Total","Females","Number","27181"
"Population","2011","Carlow County","Total","Both Sexes","Number","54612"
"Population","2011","Dublin City","Age 0","Males","Number","3530"
"Population","2011","Dublin City","Age 0","Females","Number","3436"
"Population","2011","Dublin City","Age 0","Both Sexes","Number","6966"
"Population","2011","Dublin City","Age 1","Males","Number","3333"
"Population","2011","Dublin City","Age 1","Females","Number","3107"
"Population","2011","Dublin City","Age 1","Both Sexes","Number","6440"
"Population","2011","Dublin City","Age 2","Males","Number","3087"
"Population","2011","Dublin City","Age 2","Females","Number","2942"
"Population","2011","Dublin City","Age 2","Both Sexes","Number","6029"
"Population","2011","Dublin City","Age 3","Males","Number","2831"
"Population","2011","Dublin City","Age 3","Females","Number","2811"
"Population","2011","Dublin City","Age 3","Both Sexes","Number","5642"
"Population","2011","Dublin City","Age 4","Males","Number","2608"
"Population","2011","Dublin City","Age 4","Females","Number","2565"
"Population","2011","Dublin City","Age 4","Both Sexes","Number","5173"
"Population","2011","Dublin City","Age 5","Males","Number","2498"
"Population","2011","Dublin City","Age 5","Females","Number","2418"
"Population","2011","Dublin City","Age 5","Both Sexes","Number","4916"
"Population","2011","Dublin City","Age 6","Males","Number","2602"
"Population","2011","Dublin City","Age 6","Females","Number","2416"
"Population","2011","Dublin City","Age 6","Both Sexes","Number","5018"
"Population","2011","Dublin City","Age 7","Males","Number","2507"
"Population","2011","Dublin City","Age 7","Females","Number","2383"
"Population","2011","Dublin City","Age 7","Both Sexes","Number","4890"
"Population","2011","Dublin City","Age 8","Males","Number","2606"
"Population","2011","Dublin City","Age 8","Females","Number","2350"
"Population","2011","Dublin City","Age 8","Both Sexes","Number","4956"
"Population","2011","Dublin City","Age 9","Males","Number","2415"
"Population","2011","Dublin City","Age 9","Females","Number","2491"
"Population","2011","Dublin City","Age 9","Both Sexes","Number","4906"
"Population","2011","Dublin City","Age 10","Males","Number","2556"
"Population","2011","Dublin City","Age 10","Females","Number","2367"
"Population","2011","Dublin City","Age 10","Both Sexes","Number","4923"
"Population","2011","Dublin City","Age 11","Males","Number","2530"
"Population","2011","Dublin City","Age 11","Females","Number","2399"
"Population","2011","Dublin City","Age 11","Both Sexes","Number","4929"
"Population","2011","Dublin City","Age 12","Males","Number","2695"
"Population","2011","Dublin City","Age 12","Females","Number","2474"
"Population","2011","Dublin City","Age 12","Both Sexes","Number","5169"
"Population","2011","Dublin City","Age 13","Males","Number","2568"
"Population","2011","Dublin City","Age 13","Females","Number","2511"
"Population","2011","Dublin City","Age 13","Both Sexes","Number","5079"
"Population","2011","Dublin City","Age 14","Males","Number","2584"
"Population","2011","Dublin City","Age 14","Females","Number","2409"
"Population","2011","Dublin City","Age 14","Both Sexes","Number","4993"
"Population","2011","Dublin City","Age 15","Males","Number","2524"
"Population","2011","Dublin City","Age 15","Females","Number","2522"
"Population","2011","Dublin City","Age 15","Both Sexes","Number","5046"
"Population","2011","Dublin City","Age 16","Males","Number","2522"
"Population","2011","Dublin City","Age 16","Females","Number","2417"
"Population","2011","Dublin City","Age 16","Both Sexes","Number","4939"
"Population","2011","Dublin City","Age 17","Males","Number","2573"
"Population","2011","Dublin City","Age 17","Females","Number","2708"
"Population","2011","Dublin City","Age 17","Both Sexes","Number","5281"
"Population","2011","Dublin City","Age 18","Males","Number","3132"
"Population","2011","Dublin City","Age 18","Females","Number","3192"
"Population","2011","Dublin City","Age 18","Both Sexes","Number","6324"
"Population","2011","Dublin City","Age 19","Males","Number","3623"
"Population","2011","Dublin City","Age 19","Females","Number","4001"
"Population","2011","Dublin City","Age 19","Both Sexes","Number","7624"
"Population","2011","Dublin City","Age 20-24","Males","Number","22670"
"Population","2011","Dublin City","Age 20-24","Females","Number","24736"
"Population","2011","Dublin City","Age 20-24","Both Sexes","Number","47406"
"Population","2011","Dublin City","Age 25-29","Males","Number","30573"
"Population","2011","Dublin City","Age 25-29","Females","Number","31838"
"Population","2011","Dublin City","Age 25-29","Both Sexes","Number","62411"
"Population","2011","Dublin City","Age 30-34","Males","Number","28727"
"Population","2011","Dublin City","Age 30-34","Females","Number","28162"
"Population","2011","Dublin City","Age 30-34","Both Sexes","Number","56889"
"Population","2011","Dublin City","Age 35-39","Males","Number","21460"
"Population","2011","Dublin City","Age 35-39","Females","Number","20323"
"Population","2011","Dublin City","Age 35-39","Both Sexes","Number","41783"
"Population","2011","Dublin City","Age 40-44","Males","Number","17663"
"Population","2011","Dublin City","Age 40-44","Females","Number","17344"
"Population","2011","Dublin City","Age 40-44","Both Sexes","Number","35007"
"Population","2011","Dublin City","Age 45-49","Males","Number","15886"
"Population","2011","Dublin City","Age 45-49","Females","Number","16401"
"Population","2011","Dublin City","Age 45-49","Both Sexes","Number","32287"
"Population","2011","Dublin City","Age 50-54","Males","Number","14206"
"Population","2011","Dublin City","Age 50-54","Females","Number","14709"
"Population","2011","Dublin City","Age 50-54","Both Sexes","Number","28915"
"Population","2011","Dublin City","Age 55-59","Males","Number","12108"
"Population","2011","Dublin City","Age 55-59","Females","Number","12558"
"Population","2011","Dublin City","Age 55-59","Both Sexes","Number","24666"
"Population","2011","Dublin City","Age 60-64","Males","Number","11060"
"Population","2011","Dublin City","Age 60-64","Females","Number","11455"
"Population","2011","Dublin City","Age 60-64","Both Sexes","Number","22515"
"Population","2011","Dublin City","Age 65-69","Males","Number","8687"
"Population","2011","Dublin City","Age 65-69","Females","Number","9772"
"Population","2011","Dublin City","Age 65-69","Both Sexes","Number","18459"
"Population","2011","Dublin City","Age 70-74","Males","Number","7305"
"Population","2011","Dublin City","Age 70-74","Females","Number","9128"
"Population","2011","Dublin City","Age 70-74","Both Sexes","Number","16433"
"Population","2011","Dublin City","Age 75-79","Males","Number","5677"
"Population","2011","Dublin City","Age 75-79","Females","Number","8116"
"Population","2011","Dublin City","Age 75-79","Both Sexes","Number","13793"
"Population","2011","Dublin City","Age 80-84","Males","Number","3624"
"Population","2011","Dublin City","Age 80-84","Females","Number","6288"
"Population","2011","Dublin City","Age 80-84","Both Sexes","Number","9912"
"Population","2011","Dublin City","Age 85 and over","Males","Number","2333"
"Population","2011","Dublin City","Age 85 and over","Females","Number","5560"
"Population","2011","Dublin City","Age 85 and over","Both Sexes","Number","7893"
"Population","2011","Dublin City","Total","Males","Number","257303"
"Population","2011","Dublin City","Total","Females","Number","270309"
"Population","2011","Dublin City","Total","Both Sexes","Number","527612"
"Population","2011","South Dublin","Age 0","Males","Number","2284"
"Population","2011","South Dublin","Age 0","Females","Number","2346"
"Population","2011","South Dublin","Age 0","Both Sexes","Number","4630"
"Population","2011","South Dublin","Age 1","Males","Number","2483"
"Population","2011","South Dublin","Age 1","Females","Number","2381"
"Population","2011","South Dublin","Age 1","Both Sexes","Number","4864"
"Population","2011","South Dublin","Age 2","Males","Number","2399"
"Population","2011","South Dublin","Age 2","Females","Number","2315"
"Population","2011","South Dublin","Age 2","Both Sexes","Number","4714"
"Population","2011","South Dublin","Age 3","Males","Number","2350"
"Population","2011","South Dublin","Age 3","Females","Number","2257"
"Population","2011","South Dublin","Age 3","Both Sexes","Number","4607"
"Population","2011","South Dublin","Age 4","Males","Number","2173"
"Population","2011","South Dublin","Age 4","Females","Number","2055"
"Population","2011","South Dublin","Age 4","Both Sexes","Number","4228"
"Population","2011","South Dublin","Age 5","Males","Number","2112"
"Population","2011","South Dublin","Age 5","Females","Number","1958"
"Population","2011","South Dublin","Age 5","Both Sexes","Number","4070"
"Population","2011","South Dublin","Age 6","Males","Number","2108"
"Population","2011","South Dublin","Age 6","Females","Number","1985"
"Population","2011","South Dublin","Age 6","Both Sexes","Number","4093"
"Population","2011","South Dublin","Age 7","Males","Number","2033"
"Population","2011","South Dublin","Age 7","Females","Number","1958"
"Population","2011","South Dublin","Age 7","Both Sexes","Number","3991"
"Population","2011","South Dublin","Age 8","Males","Number","2054"
"Population","2011","South Dublin","Age 8","Females","Number","1987"
"Population","2011","South Dublin","Age 8","Both Sexes","Number","4041"
"Population","2011","South Dublin","Age 9","Males","Number","1982"
"Population","2011","South Dublin","Age 9","Females","Number","1928"
"Population","2011","South Dublin","Age 9","Both Sexes","Number","3910"
"Population","2011","South Dublin","Age 10","Males","Number","1976"
"Population","2011","South Dublin","Age 10","Females","Number","1857"
"Population","2011","South Dublin","Age 10","Both Sexes","Number","3833"
"Population","2011","South Dublin","Age 11","Males","Number","1901"
"Population","2011","South Dublin","Age 11","Females","Number","1769"
"Population","2011","South Dublin","Age 11","Both Sexes","Number","3670"
"Population","2011","South Dublin","Age 12","Males","Number","1934"
"Population","2011","South Dublin","Age 12","Females","Number","1718"
"Population","2011","South Dublin","Age 12","Both Sexes","Number","3652"
"Population","2011","South Dublin","Age 13","Males","Number","1771"
"Population","2011","South Dublin","Age 13","Females","Number","1702"
"Population","2011","South Dublin","Age 13","Both Sexes","Number","3473"
"Population","2011","South Dublin","Age 14","Males","Number","1789"
"Population","2011","South Dublin","Age 14","Females","Number","1716"
"Population","2011","South Dublin","Age 14","Both Sexes","Number","3505"
"Population","2011","South Dublin","Age 15","Males","Number","1761"
"Population","2011","South Dublin","Age 15","Females","Number","1541"
"Population","2011","South Dublin","Age 15","Both Sexes","Number","3302"
"Population","2011","South Dublin","Age 16","Males","Number","1718"
"Population","2011","South Dublin","Age 16","Females","Number","1613"
"Population","2011","South Dublin","Age 16","Both Sexes","Number","3331"
"Population","2011","South Dublin","Age 17","Males","Number","1698"
"Population","2011","South Dublin","Age 17","Females","Number","1596"
"Population","2011","South Dublin","Age 17","Both Sexes","Number","3294"
"Population","2011","South Dublin","Age 18","Males","Number","1719"
"Population","2011","South Dublin","Age 18","Females","Number","1591"
"Population","2011","South Dublin","Age 18","Both Sexes","Number","3310"
"Population","2011","South Dublin","Age 19","Males","Number","1711"
"Population","2011","South Dublin","Age 19","Females","Number","1736"
"Population","2011","South Dublin","Age 19","Both Sexes","Number","3447"
"Population","2011","South Dublin","Age 20-24","Males","Number","8827"
"Population","2011","South Dublin","Age 20-24","Females","Number","9268"
"Population","2011","South Dublin","Age 20-24","Both Sexes","Number","18095"
"Population","2011","South Dublin","Age 25-29","Males","Number","10871"
"Population","2011","South Dublin","Age 25-29","Females","Number","12183"
"Population","2011","South Dublin","Age 25-29","Both Sexes","Number","23054"
"Population","2011","South Dublin","Age 30-34","Males","Number","12217"
"Population","2011","South Dublin","Age 30-34","Females","Number","12849"
"Population","2011","South Dublin","Age 30-34","Both Sexes","Number","25066"
"Population","2011","South Dublin","Age 35-39","Males","Number","10511"
"Population","2011","South Dublin","Age 35-39","Females","Number","10831"
"Population","2011","South Dublin","Age 35-39","Both Sexes","Number","21342"
"Population","2011","South Dublin","Age 40-44","Males","Number","8959"
"Population","2011","South Dublin","Age 40-44","Females","Number","9170"
"Population","2011","South Dublin","Age 40-44","Both Sexes","Number","18129"
"Population","2011","South Dublin","Age 45-49","Males","Number","7769"
"Population","2011","South Dublin","Age 45-49","Females","Number","8581"
"Population","2011","South Dublin","Age 45-49","Both Sexes","Number","16350"
"Population","2011","South Dublin","Age 50-54","Males","Number","7268"
"Population","2011","South Dublin","Age 50-54","Females","Number","8049"
"Population","2011","South Dublin","Age 50-54","Both Sexes","Number","15317"
"Population","2011","South Dublin","Age 55-59","Males","Number","6664"
"Population","2011","South Dublin","Age 55-59","Females","Number","7658"
"Population","2011","South Dublin","Age 55-59","Both Sexes","Number","14322"
"Population","2011","South Dublin","Age 60-64","Males","Number","6064"
"Population","2011","South Dublin","Age 60-64","Females","Number","6448"
"Population","2011","South Dublin","Age 60-64","Both Sexes","Number","12512"
"Population","2011","South Dublin","Age 65-69","Males","Number","4065"
"Population","2011","South Dublin","Age 65-69","Females","Number","4371"
"Population","2011","South Dublin","Age 65-69","Both Sexes","Number","8436"
"Population","2011","South Dublin","Age 70-74","Males","Number","2856"
"Population","2011","South Dublin","Age 70-74","Females","Number","3236"
"Population","2011","South Dublin","Age 70-74","Both Sexes","Number","6092"
"Population","2011","South Dublin","Age 75-79","Males","Number","1901"
"Population","2011","South Dublin","Age 75-79","Females","Number","2299"
"Population","2011","South Dublin","Age 75-79","Both Sexes","Number","4200"
"Population","2011","South Dublin","Age 80-84","Males","Number","1076"
"Population","2011","South Dublin","Age 80-84","Females","Number","1533"
"Population","2011","South Dublin","Age 80-84","Both Sexes","Number","2609"
"Population","2011","South Dublin","Age 85 and over","Males","Number","540"
"Population","2011","South Dublin","Age 85 and over","Females","Number","1176"
"Population","2011","South Dublin","Age 85 and over","Both Sexes","Number","1716"
"Population","2011","South Dublin","Total","Males","Number","129544"
"Population","2011","South Dublin","Total","Females","Number","135661"
"Population","2011","South Dublin","Total","Both Sexes","Number","265205"
"Population","2011","Fingal","Age 0","Males","Number","2751"
"Population","2011","Fingal","Age 0","Females","Number","2703"
"Population","2011","Fingal","Age 0","Both Sexes","Number","5454"
"Population","2011","Fingal","Age 1","Males","Number","2971"
"Population","2011","Fingal","Age 1","Females","Number","2694"
"Population","2011","Fingal","Age 1","Both Sexes","Number","5665"
"Population","2011","Fingal","Age 2","Males","Number","2771"
"Population","2011","Fingal","Age 2","Females","Number","2610"
"Population","2011","Fingal","Age 2","Both Sexes","Number","5381"
"Population","2011","Fingal","Age 3","Males","Number","2754"
"Population","2011","Fingal","Age 3","Females","Number","2656"
"Population","2011","Fingal","Age 3","Both Sexes","Number","5410"
"Population","2011","Fingal","Age 4","Males","Number","2479"
"Population","2011","Fingal","Age 4","Females","Number","2319"
"Population","2011","Fingal","Age 4","Both Sexes","Number","4798"
"Population","2011","Fingal","Age 5","Males","Number","2255"
"Population","2011","Fingal","Age 5","Females","Number","2226"
"Population","2011","Fingal","Age 5","Both Sexes","Number","4481"
"Population","2011","Fingal","Age 6","Males","Number","2323"
"Population","2011","Fingal","Age 6","Females","Number","2145"
"Population","2011","Fingal","Age 6","Both Sexes","Number","4468"
"Population","2011","Fingal","Age 7","Males","Number","2231"
"Population","2011","Fingal","Age 7","Females","Number","2250"
"Population","2011","Fingal","Age 7","Both Sexes","Number","4481"
"Population","2011","Fingal","Age 8","Males","Number","2282"
"Population","2011","Fingal","Age 8","Females","Number","2246"
"Population","2011","Fingal","Age 8","Both Sexes","Number","4528"
"Population","2011","Fingal","Age 9","Males","Number","2034"
"Population","2011","Fingal","Age 9","Females","Number","2060"
"Population","2011","Fingal","Age 9","Both Sexes","Number","4094"
"Population","2011","Fingal","Age 10","Males","Number","1948"
"Population","2011","Fingal","Age 10","Females","Number","1929"
"Population","2011","Fingal","Age 10","Both Sexes","Number","3877"
"Population","2011","Fingal","Age 11","Males","Number","1876"
"Population","2011","Fingal","Age 11","Females","Number","1744"
"Population","2011","Fingal","Age 11","Both Sexes","Number","3620"
"Population","2011","Fingal","Age 12","Males","Number","1820"
"Population","2011","Fingal","Age 12","Females","Number","1707"
"Population","2011","Fingal","Age 12","Both Sexes","Number","3527"
"Population","2011","Fingal","Age 13","Males","Number","1722"
"Population","2011","Fingal","Age 13","Females","Number","1653"
"Population","2011","Fingal","Age 13","Both Sexes","Number","3375"
"Population","2011","Fingal","Age 14","Males","Number","1702"
"Population","2011","Fingal","Age 14","Females","Number","1546"
"Population","2011","Fingal","Age 14","Both Sexes","Number","3248"
"Population","2011","Fingal","Age 15","Males","Number","1668"
"Population","2011","Fingal","Age 15","Females","Number","1482"
"Population","2011","Fingal","Age 15","Both Sexes","Number","3150"
"Population","2011","Fingal","Age 16","Males","Number","1632"
"Population","2011","Fingal","Age 16","Females","Number","1495"
"Population","2011","Fingal","Age 16","Both Sexes","Number","3127"
"Population","2011","Fingal","Age 17","Males","Number","1642"
"Population","2011","Fingal","Age 17","Females","Number","1469"
"Population","2011","Fingal","Age 17","Both Sexes","Number","3111"
"Population","2011","Fingal","Age 18","Males","Number","1568"
"Population","2011","Fingal","Age 18","Females","Number","1475"
"Population","2011","Fingal","Age 18","Both Sexes","Number","3043"
"Population","2011","Fingal","Age 19","Males","Number","1643"
"Population","2011","Fingal","Age 19","Females","Number","1574"
"Population","2011","Fingal","Age 19","Both Sexes","Number","3217"
"Population","2011","Fingal","Age 20-24","Males","Number","8228"
"Population","2011","Fingal","Age 20-24","Females","Number","8743"
"Population","2011","Fingal","Age 20-24","Both Sexes","Number","16971"
"Population","2011","Fingal","Age 25-29","Males","Number","11128"
"Population","2011","Fingal","Age 25-29","Females","Number","12879"
"Population","2011","Fingal","Age 25-29","Both Sexes","Number","24007"
"Population","2011","Fingal","Age 30-34","Males","Number","14025"
"Population","2011","Fingal","Age 30-34","Females","Number","14951"
"Population","2011","Fingal","Age 30-34","Both Sexes","Number","28976"
"Population","2011","Fingal","Age 35-39","Males","Number","13041"
"Population","2011","Fingal","Age 35-39","Females","Number","13407"
"Population","2011","Fingal","Age 35-39","Both Sexes","Number","26448"
"Population","2011","Fingal","Age 40-44","Males","Number","10440"
"Population","2011","Fingal","Age 40-44","Females","Number","10441"
"Population","2011","Fingal","Age 40-44","Both Sexes","Number","20881"
"Population","2011","Fingal","Age 45-49","Males","Number","8349"
"Population","2011","Fingal","Age 45-49","Females","Number","8836"
"Population","2011","Fingal","Age 45-49","Both Sexes","Number","17185"
"Population","2011","Fingal","Age 50-54","Males","Number","7133"
"Population","2011","Fingal","Age 50-54","Females","Number","7531"
"Population","2011","Fingal","Age 50-54","Both Sexes","Number","14664"
"Population","2011","Fingal","Age 55-59","Males","Number","5948"
"Population","2011","Fingal","Age 55-59","Females","Number","6470"
"Population","2011","Fingal","Age 55-59","Both Sexes","Number","12418"
"Population","2011","Fingal","Age 60-64","Males","Number","5056"
"Population","2011","Fingal","Age 60-64","Females","Number","5469"
"Population","2011","Fingal","Age 60-64","Both Sexes","Number","10525"
"Population","2011","Fingal","Age 65-69","Males","Number","3825"
"Population","2011","Fingal","Age 65-69","Females","Number","4036"
"Population","2011","Fingal","Age 65-69","Both Sexes","Number","7861"
"Population","2011","Fingal","Age 70-74","Males","Number","2457"
"Population","2011","Fingal","Age 70-74","Females","Number","2499"
"Population","2011","Fingal","Age 70-74","Both Sexes","Number","4956"
"Population","2011","Fingal","Age 75-79","Males","Number","1507"
"Population","2011","Fingal","Age 75-79","Females","Number","1848"
"Population","2011","Fingal","Age 75-79","Both Sexes","Number","3355"
"Population","2011","Fingal","Age 80-84","Males","Number","778"
"Population","2011","Fingal","Age 80-84","Females","Number","1237"
"Population","2011","Fingal","Age 80-84","Both Sexes","Number","2015"
"Population","2011","Fingal","Age 85 and over","Males","Number","501"
"Population","2011","Fingal","Age 85 and over","Females","Number","1173"
"Population","2011","Fingal","Age 85 and over","Both Sexes","Number","1674"
"Population","2011","Fingal","Total","Males","Number","134488"
"Population","2011","Fingal","Total","Females","Number","139503"
"Population","2011","Fingal","Total","Both Sexes","Number","273991"
"Population","2011","Dún Laoghaire-Rathdown","Age 0","Males","Number","1409"
"Population","2011","Dún Laoghaire-Rathdown","Age 0","Females","Number","1352"
"Population","2011","Dún Laoghaire-Rathdown","Age 0","Both Sexes","Number","2761"
"Population","2011","Dún Laoghaire-Rathdown","Age 1","Males","Number","1407"
"Population","2011","Dún Laoghaire-Rathdown","Age 1","Females","Number","1290"
"Population","2011","Dún Laoghaire-Rathdown","Age 1","Both Sexes","Number","2697"
"Population","2011","Dún Laoghaire-Rathdown","Age 2","Males","Number","1366"
"Population","2011","Dún Laoghaire-Rathdown","Age 2","Females","Number","1269"
"Population","2011","Dún Laoghaire-Rathdown","Age 2","Both Sexes","Number","2635"
"Population","2011","Dún Laoghaire-Rathdown","Age 3","Males","Number","1313"
"Population","2011","Dún Laoghaire-Rathdown","Age 3","Females","Number","1257"
"Population","2011","Dún Laoghaire-Rathdown","Age 3","Both Sexes","Number","2570"
"Population","2011","Dún Laoghaire-Rathdown","Age 4","Males","Number","1244"
"Population","2011","Dún Laoghaire-Rathdown","Age 4","Females","Number","1248"
"Population","2011","Dún Laoghaire-Rathdown","Age 4","Both Sexes","Number","2492"
"Population","2011","Dún Laoghaire-Rathdown","Age 5","Males","Number","1210"
"Population","2011","Dún Laoghaire-Rathdown","Age 5","Females","Number","1235"
"Population","2011","Dún Laoghaire-Rathdown","Age 5","Both Sexes","Number","2445"
"Population","2011","Dún Laoghaire-Rathdown","Age 6","Males","Number","1224"
"Population","2011","Dún Laoghaire-Rathdown","Age 6","Females","Number","1172"
"Population","2011","Dún Laoghaire-Rathdown","Age 6","Both Sexes","Number","2396"
"Population","2011","Dún Laoghaire-Rathdown","Age 7","Males","Number","1238"
"Population","2011","Dún Laoghaire-Rathdown","Age 7","Females","Number","1241"
"Population","2011","Dún Laoghaire-Rathdown","Age 7","Both Sexes","Number","2479"
"Population","2011","Dún Laoghaire-Rathdown","Age 8","Males","Number","1220"
"Population","2011","Dún Laoghaire-Rathdown","Age 8","Females","Number","1165"
"Population","2011","Dún Laoghaire-Rathdown","Age 8","Both Sexes","Number","2385"
"Population","2011","Dún Laoghaire-Rathdown","Age 9","Males","Number","1186"
"Population","2011","Dún Laoghaire-Rathdown","Age 9","Females","Number","1159"
"Population","2011","Dún Laoghaire-Rathdown","Age 9","Both Sexes","Number","2345"
"Population","2011","Dún Laoghaire-Rathdown","Age 10","Males","Number","1189"
"Population","2011","Dún Laoghaire-Rathdown","Age 10","Females","Number","1154"
"Population","2011","Dún Laoghaire-Rathdown","Age 10","Both Sexes","Number","2343"
"Population","2011","Dún Laoghaire-Rathdown","Age 11","Males","Number","1254"
"Population","2011","Dún Laoghaire-Rathdown","Age 11","Females","Number","1151"
"Population","2011","Dún Laoghaire-Rathdown","Age 11","Both Sexes","Number","2405"
"Population","2011","Dún Laoghaire-Rathdown","Age 12","Males","Number","1256"
