"Statistic Label","Census Year","County","Age","Sex","UNIT","VALUE"
"Population","2016","Cork County","Age 55-59","Both Sexes","Number","23752"
"Population","2016","Cork County","Age 60-64","Males","Number","10536"
"Population","2016","Cork County","Age 60-64","Females","Number","10456"
"Population","2016","Cork County","Age 60-64","Both Sexes","Number","20992"
"Population","2016","Cork County","Age 65-69","Males","Number","9242"
"Population","2016","Cork County","Age 65-69","Females","Number","9169"
"Population","2016","Cork County","Age 65-69","Both Sexes","Number","18411"
"Population","2016","Cork County","Age 70-74","Males","Number","6807"
"Population","2016","Cork County","Age 70-74","Females","Number","6968"
"Population","2016","Cork County","Age 70-74","Both Sexes","Number","13775"
"Population","2016","Cork County","Age 75-79","Males","Number","4545"
"Population","2016","Cork County","Age 75-79","Females","Number","4931"
"Population","2016","Cork County","Age 75-79","Both Sexes","Number","9476"
"Population","2016","Cork County","Age 80-84","Males","Number","2999"
"Population","2016","Cork County","Age 80-84","Females","Number","3824"
"Population","2016","Cork County","Age 80-84","Both Sexes","Number","6823"
"Population","2016","Cork County","Age 85 and over","Males","Number","1874"
"Population","2016","Cork County","Age 85 and over","Females","Number","3757"
"Population","2016","Cork County","Age 85 and over","Both Sexes","Number","5631"
"Population","2016","Cork County","Total","Males","Number","206953"
"Population","2016","Cork County","Total","Females","Number","210258"
"Population","2016","Cork County","Total","Both Sexes","Number","417211"
"Population","2016","Donegal","Age 0-4","Males","Number","5554"
"Population","2016","Donegal","Age 0-4","Females","Number","5222"
"Population","2016","Donegal","Age 0-4","Both Sexes","Number","10776"
"Population","2016","Donegal","Age 5-9","Males","Number","6363"
"Population","2016","Donegal","Age 5-9","Females","Number","6082"
"Population","2016","Donegal","Age 5-9","Both Sexes","Number","12445"
"Population","2016","Donegal","Age 10-14","Males","Number","6139"
"Population","2016","Donegal","Age 10-14","Females","Number","5682"
"Population","2016","Donegal","Age 10-14","Both Sexes","Number","11821"
"Population","2016","Donegal","Age 15-19","Males","Number","5621"
"Population","2016","Donegal","Age 15-19","Females","Number","5236"
"Population","2016","Donegal","Age 15-19","Both Sexes","Number","10857"
"Population","2016","Donegal","Age 20-24","Males","Number","3762"
"Population","2016","Donegal","Age 20-24","Females","Number","3788"
"Population","2016","Donegal","Age 20-24","Both Sexes","Number","7550"
"Population","2016","Donegal","Age 25-29","Males","Number","3920"
"Population","2016","Donegal","Age 25-29","Females","Number","4155"
"Population","2016","Donegal","Age 25-29","Both Sexes","Number","8075"
"Population","2016","Donegal","Age 30-34","Males","Number","4632"
"Population","2016","Donegal","Age 30-34","Females","Number","5194"
"Population","2016","Donegal","Age 30-34","Both Sexes","Number","9826"
"Population","2016","Donegal","Age 35-39","Males","Number","5579"
"Population","2016","Donegal","Age 35-39","Females","Number","6047"
"Population","2016","Donegal","Age 35-39","Both Sexes","Number","11626"
"Population","2016","Donegal","Age 40-44","Males","Number","5616"
"Population","2016","Donegal","Age 40-44","Females","Number","5796"
"Population","2016","Donegal","Age 40-44","Both Sexes","Number","11412"
"Population","2016","Donegal","Age 45-49","Males","Number","5637"
"Population","2016","Donegal","Age 45-49","Females","Number","5689"
"Population","2016","Donegal","Age 45-49","Both Sexes","Number","11326"
"Population","2016","Donegal","Age 50-54","Males","Number","5021"
"Population","2016","Donegal","Age 50-54","Females","Number","5279"
"Population","2016","Donegal","Age 50-54","Both Sexes","Number","10300"
"Population","2016","Donegal","Age 55-59","Males","Number","4612"
"Population","2016","Donegal","Age 55-59","Females","Number","4772"
"Population","2016","Donegal","Age 55-59","Both Sexes","Number","9384"
"Population","2016","Donegal","Age 60-64","Males","Number","4477"
"Population","2016","Donegal","Age 60-64","Females","Number","4328"
"Population","2016","Donegal","Age 60-64","Both Sexes","Number","8805"
"Population","2016","Donegal","Age 65-69","Males","Number","4139"
"Population","2016","Donegal","Age 65-69","Females","Number","4045"
"Population","2016","Donegal","Age 65-69","Both Sexes","Number","8184"
"Population","2016","Donegal","Age 70-74","Males","Number","3358"
"Population","2016","Donegal","Age 70-74","Females","Number","3138"
"Population","2016","Donegal","Age 70-74","Both Sexes","Number","6496"
"Population","2016","Donegal","Age 75-79","Males","Number","2246"
"Population","2016","Donegal","Age 75-79","Females","Number","2322"
"Population","2016","Donegal","Age 75-79","Both Sexes","Number","4568"
"Population","2016","Donegal","Age 80-84","Males","Number","1374"
"Population","2016","Donegal","Age 80-84","Females","Number","1683"
"Population","2016","Donegal","Age 80-84","Both Sexes","Number","3057"
"Population","2016","Donegal","Age 85 and over","Males","Number","972"
"Population","2016","Donegal","Age 85 and over","Females","Number","1712"
"Population","2016","Donegal","Age 85 and over","Both Sexes","Number","2684"
"Population","2016","Donegal","Total","Males","Number","79022"
"Population","2016","Donegal","Total","Females","Number","80170"
"Population","2016","Donegal","Total","Both Sexes","Number","159192"
"Population","2016","Dublin City","Age 0-4","Males","Number","15571"
"Population","2016","Dublin City","Age 0-4","Females","Number","15112"
"Population","2016","Dublin City","Age 0-4","Both Sexes","Number","30683"
"Population","2016","Dublin City","Age 5-9","Males","Number","14178"
"Population","2016","Dublin City","Age 5-9","Females","Number","13759"
"Population","2016","Dublin City","Age 5-9","Both Sexes","Number","27937"
"Population","2016","Dublin City","Age 10-14","Males","Number","12641"
"Population","2016","Dublin City","Age 10-14","Females","Number","11952"
"Population","2016","Dublin City","Age 10-14","Both Sexes","Number","24593"
"Population","2016","Dublin City","Age 15-19","Males","Number","14597"
"Population","2016","Dublin City","Age 15-19","Females","Number","14184"
"Population","2016","Dublin City","Age 15-19","Both Sexes","Number","28781"
"Population","2016","Dublin City","Age 20-24","Males","Number","21673"
"Population","2016","Dublin City","Age 20-24","Females","Number","22811"
"Population","2016","Dublin City","Age 20-24","Both Sexes","Number","44484"
"Population","2016","Dublin City","Age 25-29","Males","Number","30146"
"Population","2016","Dublin City","Age 25-29","Females","Number","30721"
"Population","2016","Dublin City","Age 25-29","Both Sexes","Number","60867"
"Population","2016","Dublin City","Age 30-34","Males","Number","29538"
"Population","2016","Dublin City","Age 30-34","Females","Number","29351"
"Population","2016","Dublin City","Age 30-34","Both Sexes","Number","58889"
"Population","2016","Dublin City","Age 35-39","Males","Number","25036"
"Population","2016","Dublin City","Age 35-39","Females","Number","24525"
"Population","2016","Dublin City","Age 35-39","Both Sexes","Number","49561"
"Population","2016","Dublin City","Age 40-44","Males","Number","19292"
"Population","2016","Dublin City","Age 40-44","Females","Number","18729"
"Population","2016","Dublin City","Age 40-44","Both Sexes","Number","38021"
"Population","2016","Dublin City","Age 45-49","Males","Number","16948"
"Population","2016","Dublin City","Age 45-49","Females","Number","17145"
"Population","2016","Dublin City","Age 45-49","Both Sexes","Number","34093"
"Population","2016","Dublin City","Age 50-54","Males","Number","15659"
"Population","2016","Dublin City","Age 50-54","Females","Number","16084"
"Population","2016","Dublin City","Age 50-54","Both Sexes","Number","31743"
"Population","2016","Dublin City","Age 55-59","Males","Number","14131"
"Population","2016","Dublin City","Age 55-59","Females","Number","14661"
"Population","2016","Dublin City","Age 55-59","Both Sexes","Number","28792"
"Population","2016","Dublin City","Age 60-64","Males","Number","11581"
"Population","2016","Dublin City","Age 60-64","Females","Number","12174"
"Population","2016","Dublin City","Age 60-64","Both Sexes","Number","23755"
"Population","2016","Dublin City","Age 65-69","Males","Number","10146"
"Population","2016","Dublin City","Age 65-69","Females","Number","10838"
"Population","2016","Dublin City","Age 65-69","Both Sexes","Number","20984"
"Population","2016","Dublin City","Age 70-74","Males","Number","7920"
"Population","2016","Dublin City","Age 70-74","Females","Number","9107"
"Population","2016","Dublin City","Age 70-74","Both Sexes","Number","17027"
"Population","2016","Dublin City","Age 75-79","Males","Number","6056"
"Population","2016","Dublin City","Age 75-79","Females","Number","8105"
"Population","2016","Dublin City","Age 75-79","Both Sexes","Number","14161"
"Population","2016","Dublin City","Age 80-84","Males","Number","4226"
"Population","2016","Dublin City","Age 80-84","Females","Number","6631"
"Population","2016","Dublin City","Age 80-84","Both Sexes","Number","10857"
"Population","2016","Dublin City","Age 85 and over","Males","Number","2931"
"Population","2016","Dublin City","Age 85 and over","Females","Number","6395"
"Population","2016","Dublin City","Age 85 and over","Both Sexes","Number","9326"
"Population","2016","Dublin City","Total","Males","Number","272270"
"Population","2016","Dublin City","Total","Females","Number","282284"
"Population","2016","Dublin City","Total","Both Sexes","Number","554554"
"Population","2016","Dún Laoghaire-Rathdown","Age 0-4","Males","Number","7089"
"Population","2016","Dún Laoghaire-Rathdown","Age 0-4","Females","Number","6721"
"Population","2016","Dún Laoghaire-Rathdown","Age 0-4","Both Sexes","Number","13810"
"Population","2016","Dún Laoghaire-Rathdown","Age 5-9","Males","Number","7034"
"Population","2016","Dún Laoghaire-Rathdown","Age 5-9","Females","Number","6710"
"Population","2016","Dún Laoghaire-Rathdown","Age 5-9","Both Sexes","Number","13744"
"Population","2016","Dún Laoghaire-Rathdown","Age 10-14","Males","Number","6358"
"Population","2016","Dún Laoghaire-Rathdown","Age 10-14","Females","Number","6127"
"Population","2016","Dún Laoghaire-Rathdown","Age 10-14","Both Sexes","Number","12485"
"Population","2016","Dún Laoghaire-Rathdown","Age 15-19","Males","Number","7112"
"Population","2016","Dún Laoghaire-Rathdown","Age 15-19","Females","Number","7078"
"Population","2016","Dún Laoghaire-Rathdown","Age 15-19","Both Sexes","Number","14190"
"Population","2016","Dún Laoghaire-Rathdown","Age 20-24","Males","Number","7759"
"Population","2016","Dún Laoghaire-Rathdown","Age 20-24","Females","Number","7863"
"Population","2016","Dún Laoghaire-Rathdown","Age 20-24","Both Sexes","Number","15622"
"Population","2016","Dún Laoghaire-Rathdown","Age 25-29","Males","Number","6714"
"Population","2016","Dún Laoghaire-Rathdown","Age 25-29","Females","Number","7045"
"Population","2016","Dún Laoghaire-Rathdown","Age 25-29","Both Sexes","Number","13759"
"Population","2016","Dún Laoghaire-Rathdown","Age 30-34","Males","Number","7484"
"Population","2016","Dún Laoghaire-Rathdown","Age 30-34","Females","Number","8256"
"Population","2016","Dún Laoghaire-Rathdown","Age 30-34","Both Sexes","Number","15740"
"Population","2016","Dún Laoghaire-Rathdown","Age 35-39","Males","Number","8241"
"Population","2016","Dún Laoghaire-Rathdown","Age 35-39","Females","Number","8546"
"Population","2016","Dún Laoghaire-Rathdown","Age 35-39","Both Sexes","Number","16787"
"Population","2016","Dún Laoghaire-Rathdown","Age 40-44","Males","Number","7372"
"Population","2016","Dún Laoghaire-Rathdown","Age 40-44","Females","Number","7837"
"Population","2016","Dún Laoghaire-Rathdown","Age 40-44","Both Sexes","Number","15209"
"Population","2016","Dún Laoghaire-Rathdown","Age 45-49","Males","Number","6747"
"Population","2016","Dún Laoghaire-Rathdown","Age 45-49","Females","Number","7572"
"Population","2016","Dún Laoghaire-Rathdown","Age 45-49","Both Sexes","Number","14319"
"Population","2016","Dún Laoghaire-Rathdown","Age 50-54","Males","Number","6535"
"Population","2016","Dún Laoghaire-Rathdown","Age 50-54","Females","Number","7504"
"Population","2016","Dún Laoghaire-Rathdown","Age 50-54","Both Sexes","Number","14039"
"Population","2016","Dún Laoghaire-Rathdown","Age 55-59","Males","Number","5904"
"Population","2016","Dún Laoghaire-Rathdown","Age 55-59","Females","Number","6654"
"Population","2016","Dún Laoghaire-Rathdown","Age 55-59","Both Sexes","Number","12558"
"Population","2016","Dún Laoghaire-Rathdown","Age 60-64","Males","Number","5247"
"Population","2016","Dún Laoghaire-Rathdown","Age 60-64","Females","Number","5840"
"Population","2016","Dún Laoghaire-Rathdown","Age 60-64","Both Sexes","Number","11087"
"Population","2016","Dún Laoghaire-Rathdown","Age 65-69","Males","Number","4484"
"Population","2016","Dún Laoghaire-Rathdown","Age 65-69","Females","Number","5281"
"Population","2016","Dún Laoghaire-Rathdown","Age 65-69","Both Sexes","Number","9765"
"Population","2016","Dún Laoghaire-Rathdown","Age 70-74","Males","Number","3946"
"Population","2016","Dún Laoghaire-Rathdown","Age 70-74","Females","Number","4685"
"Population","2016","Dún Laoghaire-Rathdown","Age 70-74","Both Sexes","Number","8631"
"Population","2016","Dún Laoghaire-Rathdown","Age 75-79","Males","Number","3018"
