"Statistic Label","Census Year","Administrative Counties 2019","Age","Sex","UNIT","VALUE"
"Population","2022","Dublin City Council","Age 50-54","Both Sexes","Number","35115"
"Population","2022","Dublin City Council","Age 55-59","Males","Number","15562"
"Population","2022","Dublin City Council","Age 55-59","Females","Number","16015"
"Population","2022","Dublin City Council","Age 55-59","Both Sexes","Number","31577"
"Population","2022","Dublin City Council","Age 60-64","Males","Number","13653"
"Population","2022","Dublin City Council","Age 60-64","Females","Number","14172"
"Population","2022","Dublin City Council","Age 60-64","Both Sexes","Number","27825"
"Population","2022","Dublin City Council","Age 65-69","Males","Number","11066"
"Population","2022","Dublin City Council","Age 65-69","Females","Number","11817"
"Population","2022","Dublin City Council","Age 65-69","Both Sexes","Number","22883"
"Population","2022","Dublin City Council","Age 70-74","Males","Number","9055"
"Population","2022","Dublin City Council","Age 70-74","Females","Number","10228"
"Population","2022","Dublin City Council","Age 70-74","Both Sexes","Number","19283"
"Population","2022","Dublin City Council","Age 75-79","Males","Number","6891"
"Population","2022","Dublin City Council","Age 75-79","Females","Number","8276"
"Population","2022","Dublin City Council","Age 75-79","Both Sexes","Number","15167"
"Population","2022","Dublin City Council","Age 80-84","Males","Number","4460"
"Population","2022","Dublin City Council","Age 80-84","Females","Number","6493"
"Population","2022","Dublin City Council","Age 80-84","Both Sexes","Number","10953"
"Population","2022","Dublin City Council","Age 85 and over","Males","Number","3681"
"Population","2022","Dublin City Council","Age 85 and over","Females","Number","7401"
"Population","2022","Dublin City Council","Age 85 and over","Both Sexes","Number","11082"
"Population","2022","Dublin City Council","Total","Males","Number","291796"
"Population","2022","Dublin City Council","Total","Females","Number","300917"
"Population","2022","Dublin City Council","Total","Both Sexes","Number","592713"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 0-4","Males","Number","6449"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 0-4","Females","Number","6205"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 0-4","Both Sexes","Number","12654"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 5-9","Males","Number","7403"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 5-9","Females","Number","7307"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 5-9","Both Sexes","Number","14710"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 10-14","Males","Number","7680"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 10-14","Females","Number","7259"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 10-14","Both Sexes","Number","14939"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 15-19","Males","Number","7151"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 15-19","Females","Number","7303"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 15-19","Both Sexes","Number","14454"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 20-24","Males","Number","7696"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 20-24","Females","Number","8324"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 20-24","Both Sexes","Number","16020"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 25-29","Males","Number","7383"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 25-29","Females","Number","7547"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 25-29","Both Sexes","Number","14930"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 30-34","Males","Number","7467"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 30-34","Females","Number","7942"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 30-34","Both Sexes","Number","15409"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 35-39","Males","Number","7871"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 35-39","Females","Number","8598"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 35-39","Both Sexes","Number","16469"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 40-44","Males","Number","8574"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 40-44","Females","Number","9224"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 40-44","Both Sexes","Number","17798"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 45-49","Males","Number","7615"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 45-49","Females","Number","8069"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 45-49","Both Sexes","Number","15684"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 50-54","Males","Number","6996"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 50-54","Females","Number","7635"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 50-54","Both Sexes","Number","14631"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 55-59","Males","Number","6441"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 55-59","Females","Number","7468"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 55-59","Both Sexes","Number","13909"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 60-64","Males","Number","5833"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 60-64","Females","Number","6502"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 60-64","Both Sexes","Number","12335"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 65-69","Males","Number","4980"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 65-69","Females","Number","5762"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 65-69","Both Sexes","Number","10742"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 70-74","Males","Number","4242"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 70-74","Females","Number","5103"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 70-74","Both Sexes","Number","9345"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 75-79","Males","Number","3605"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 75-79","Females","Number","4537"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 75-79","Both Sexes","Number","8142"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 80-84","Males","Number","2554"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 80-84","Females","Number","3458"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 80-84","Both Sexes","Number","6012"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 85 and over","Males","Number","2092"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 85 and over","Females","Number","3585"
"Population","2022","Dún Laoghaire Rathdown County Council","Age 85 and over","Both Sexes","Number","5677"
"Population","2022","Dún Laoghaire Rathdown County Council","Total","Males","Number","112032"
"Population","2022","Dún Laoghaire Rathdown County Council","Total","Females","Number","121828"
"Population","2022","Dún Laoghaire Rathdown County Council","Total","Both Sexes","Number","233860"
"Population","2022","Fingal County Council","Age 0-4","Males","Number","10740"
"Population","2022","Fingal County Council","Age 0-4","Females","Number","10277"
"Population","2022","Fingal County Council","Age 0-4","Both Sexes","Number","21017"
"Population","2022","Fingal County Council","Age 5-9","Males","Number","12993"
"Population","2022","Fingal County Council","Age 5-9","Females","Number","12322"
"Population","2022","Fingal County Council","Age 5-9","Both Sexes","Number","25315"
"Population","2022","Fingal County Council","Age 10-14","Males","Number","14302"
"Population","2022","Fingal County Council","Age 10-14","Females","Number","13414"
"Population","2022","Fingal County Council","Age 10-14","Both Sexes","Number","27716"
"Population","2022","Fingal County Council","Age 15-19","Males","Number","11580"
"Population","2022","Fingal County Council","Age 15-19","Females","Number","11296"
"Population","2022","Fingal County Council","Age 15-19","Both Sexes","Number","22876"
"Population","2022","Fingal County Council","Age 20-24","Males","Number","9766"
"Population","2022","Fingal County Council","Age 20-24","Females","Number","9331"
"Population","2022","Fingal County Council","Age 20-24","Both Sexes","Number","19097"
"Population","2022","Fingal County Council","Age 25-29","Males","Number","9077"
"Population","2022","Fingal County Council","Age 25-29","Females","Number","9166"
"Population","2022","Fingal County Council","Age 25-29","Both Sexes","Number","18243"
"Population","2022","Fingal County Council","Age 30-34","Males","Number","10382"
"Population","2022","Fingal County Council","Age 30-34","Females","Number","11546"
"Population","2022","Fingal County Council","Age 30-34","Both Sexes","Number","21928"
"Population","2022","Fingal County Council","Age 35-39","Males","Number","12795"
"Population","2022","Fingal County Council","Age 35-39","Females","Number","14415"
"Population","2022","Fingal County Council","Age 35-39","Both Sexes","Number","27210"
"Population","2022","Fingal County Council","Age 40-44","Males","Number","14740"
"Population","2022","Fingal County Council","Age 40-44","Females","Number","15653"
"Population","2022","Fingal County Council","Age 40-44","Both Sexes","Number","30393"
"Population","2022","Fingal County Council","Age 45-49","Males","Number","13360"
"Population","2022","Fingal County Council","Age 45-49","Females","Number","13683"
"Population","2022","Fingal County Council","Age 45-49","Both Sexes","Number","27043"
"Population","2022","Fingal County Council","Age 50-54","Males","Number","10734"
"Population","2022","Fingal County Council","Age 50-54","Females","Number","10883"
"Population","2022","Fingal County Council","Age 50-54","Both Sexes","Number","21617"
"Population","2022","Fingal County Council","Age 55-59","Males","Number","8365"
"Population","2022","Fingal County Council","Age 55-59","Females","Number","8807"
"Population","2022","Fingal County Council","Age 55-59","Both Sexes","Number","17172"
"Population","2022","Fingal County Council","Age 60-64","Males","Number","6871"
"Population","2022","Fingal County Council","Age 60-64","Females","Number","7464"
"Population","2022","Fingal County Council","Age 60-64","Both Sexes","Number","14335"
"Population","2022","Fingal County Council","Age 65-69","Males","Number","5616"
"Population","2022","Fingal County Council","Age 65-69","Females","Number","6252"
"Population","2022","Fingal County Council","Age 65-69","Both Sexes","Number","11868"
"Population","2022","Fingal County Council","Age 70-74","Males","Number","4685"
"Population","2022","Fingal County Council","Age 70-74","Females","Number","5275"
"Population","2022","Fingal County Council","Age 70-74","Both Sexes","Number","9960"
"Population","2022","Fingal County Council","Age 75-79","Males","Number","3448"
"Population","2022","Fingal County Council","Age 75-79","Females","Number","3969"
"Population","2022","Fingal County Council","Age 75-79","Both Sexes","Number","7417"
"Population","2022","Fingal County Council","Age 80-84","Males","Number","1897"
"Population","2022","Fingal County Council","Age 80-84","Females","Number","2230"
"Population","2022","Fingal County Council","Age 80-84","Both Sexes","Number","4127"
"Population","2022","Fingal County Council","Age 85 and over","Males","Number","1181"
"Population","2022","Fingal County Council","Age 85 and over","Females","Number","1991"
"Population","2022","Fingal County Council","Age 85 and over","Both Sexes","Number","3172"
"Population","2022","Fingal County Council","Total","Males","Number","162532"
"Population","2022","Fingal County Council","Total","Females","Number","167974"
"Population","2022","Fingal County Council","Total","Both Sexes","Number","330506"
"Population","2022","South Dublin County Council","Age 0-4","Males","Number","9643"
"Population","2022","South Dublin County Council","Age 0-4","Females","Number","9034"
"Population","2022","South Dublin County Council","Age 0-4","Both Sexes","Number","18677"
"Population","2022","South Dublin County Council","Age 5-9","Males","Number","11168"
"Population","2022","South Dublin County Council","Age 5-9","Females","Number","10502"
"Population","2022","South Dublin County Council","Age 5-9","Both Sexes","Number","21670"
"Population","2022","South Dublin County Council","Age 10-14","Males","Number","12100"
"Population","2022","South Dublin County Council","Age 10-14","Females","Number","11542"
"Population","2022","South Dublin County Council","Age 10-14","Both Sexes","Number","23642"
"Population","2022","South Dublin County Council","Age 15-19","Males","Number","10392"
"Population","2022","South Dublin County Council","Age 15-19","Females","Number","9998"
"Population","2022","South Dublin County Council","Age 15-19","Both Sexes","Number","20390"
"Population","2022","South Dublin County Council","Age 20-24","Males","Number","9431"
"Population","2022","South Dublin County Council","Age 20-24","Females","Number","9109"
"Population","2022","South Dublin County Council","Age 20-24","Both Sexes","Number","18540"
"Population","2022","South Dublin County Council","Age 25-29","Males","Number","8746"
"Population","2022","South Dublin County Council","Age 25-29","Females","Number","9002"
"Population","2022","South Dublin County Council","Age 25-29","Both Sexes","Number","17748"
"Population","2022","South Dublin County Council","Age 30-34","Males","Number","9539"
"Population","2022","South Dublin County Council","Age 30-34","Females","Number","10742"
"Population","2022","South Dublin County Council","Age 30-34","Both Sexes","Number","20281"
"Population","2022","South Dublin County Council","Age 35-39","Males","Number","11523"
"Population","2022","South Dublin County Council","Age 35-39","Females","Number","12797"
"Population","2022","South Dublin County Council","Age 35-39","Both Sexes","Number","24320"
"Population","2022","South Dublin County Council","Age 40-44","Males","Number","12696"
"Population","2022","South Dublin County Council","Age 40-44","Females","Number","13429"
"Population","2022","South Dublin County Council","Age 40-44","Both Sexes","Number","26125"
"Population","2022","South Dublin County Council","Age 45-49","Males","Number","10626"
"Population","2022","South Dublin County Council","Age 45-49","Females","Number","11007"
"Population","2022","South Dublin County Council","Age 45-49","Both Sexes","Number","21633"
"Population","2022","South Dublin County Council","Age 50-54","Males","Number","9057"
"Population","2022","South Dublin County Council","Age 50-54","Females","Number","9167"
"Population","2022","South Dublin County Council","Age 50-54","Both Sexes","Number","18224"
"Population","2022","South Dublin County Council","Age 55-59","Males","Number","7511"
"Population","2022","South Dublin County Council","Age 55-59","Females","Number","8166"
"Population","2022","South Dublin County Council","Age 55-59","Both Sexes","Number","15677"
"Population","2022","South Dublin County Council","Age 60-64","Males","Number","6769"
"Population","2022","South Dublin County Council","Age 60-64","Females","Number","7545"
"Population","2022","South Dublin County Council","Age 60-64","Both Sexes","Number","14314"
"Population","2022","South Dublin County Council","Age 65-69","Males","Number","5928"
"Population","2022","South Dublin County Council","Age 65-69","Females","Number","7054"
"Population","2022","South Dublin County Council","Age 65-69","Both Sexes","Number","12982"
"Population","2022","South Dublin County Council","Age 70-74","Males","Number","5326"
"Population","2022","South Dublin County Council","Age 70-74","Females","Number","6038"
"Population","2022","South Dublin County Council","Age 70-74","Both Sexes","Number","11364"
"Population","2022","South Dublin County Council","Age 75-79","Males","Number","3516"
"Population","2022","South Dublin County Council","Age 75-79","Females","Number","4130"
"Population","2022","South Dublin County Council","Age 75-79","Both Sexes","Number","7646"
"Population","2022","South Dublin County Council","Age 80-84","Males","Number","1949"
"Population","2022","South Dublin County Council","Age 80-84","Females","Number","2475"
"Population","2022","South Dublin County Council","Age 80-84","Both Sexes","Number","4424"
"Population","2022","South Dublin County Council","Age 85 and over","Males","Number","1326"
"Population","2022","South Dublin County Council","Age 85 and over","Females","Number","2092"
"Population","2022","South Dublin County Council","Age 85 and over","Both Sexes","Number","3418"
"Population","2022","South Dublin County Council","Total","Males","Number","147246"
"Population","2022","South Dublin County Council","Total","Females","Number","153829"
"Population","2022","South Dublin County Council","Total","Both Sexes","Number","301075"
"Population","2022","Kildare County Council","Age 0-4","Males","Number","7943"
"Population","2022","Kildare County Council","Age 0-4","Females","Number","7538"
"Population","2022","Kildare County Council","Age 0-4","Both Sexes","Number","15481"
"Population","2022","Kildare County Council","Age 5-9","Males","Number","9220"
"Population","2022","Kildare County Council","Age 5-9","Females","Number","8768"
"Population","2022","Kildare County Council","Age 5-9","Both Sexes","Number","17988"
"Population","2022","Kildare County Council","Age 10-14","Males","Number","10264"
"Population","2022","Kildare County Council","Age 10-14","Females","Number","9644"
"Population","2022","Kildare County Council","Age 10-14","Both Sexes","Number","19908"
"Population","2022","Kildare County Council","Age 15-19","Males","Number","9252"
"Population","2022","Kildare County Council","Age 15-19","Females","Number","8718"
"Population","2022","Kildare County Council","Age 15-19","Both Sexes","Number","17970"
"Population","2022","Kildare County Council","Age 20-24","Males","Number","7650"
"Population","2022","Kildare County Council","Age 20-24","Females","Number","7158"
"Population","2022","Kildare County Council","Age 20-24","Both Sexes","Number","14808"
"Population","2022","Kildare County Council","Age 25-29","Males","Number","6428"
"Population","2022","Kildare County Council","Age 25-29","Females","Number","6524"
"Population","2022","Kildare County Council","Age 25-29","Both Sexes","Number","12952"
"Population","2022","Kildare County Council","Age 30-34","Males","Number","7315"
"Population","2022","Kildare County Council","Age 30-34","Females","Number","8078"
"Population","2022","Kildare County Council","Age 30-34","Both Sexes","Number","15393"
"Population","2022","Kildare County Council","Age 35-39","Males","Number","9266"
"Population","2022","Kildare County Council","Age 35-39","Females","Number","10248"
"Population","2022","Kildare County Council","Age 35-39","Both Sexes","Number","19514"
"Population","2022","Kildare County Council","Age 40-44","Males","Number","10516"
"Population","2022","Kildare County Council","Age 40-44","Females","Number","10933"
"Population","2022","Kildare County Council","Age 40-44","Both Sexes","Number","21449"
"Population","2022","Kildare County Council","Age 45-49","Males","Number","9700"
"Population","2022","Kildare County Council","Age 45-49","Females","Number","9862"
"Population","2022","Kildare County Council","Age 45-49","Both Sexes","Number","19562"
"Population","2022","Kildare County Council","Age 50-54","Males","Number","8672"
"Population","2022","Kildare County Council","Age 50-54","Females","Number","8419"
"Population","2022","Kildare County Council","Age 50-54","Both Sexes","Number","17091"
"Population","2022","Kildare County Council","Age 55-59","Males","Number","7091"
"Population","2022","Kildare County Council","Age 55-59","Females","Number","7209"
"Population","2022","Kildare County Council","Age 55-59","Both Sexes","Number","14300"
"Population","2022","Kildare County Council","Age 60-64","Males","Number","5785"
"Population","2022","Kildare County Council","Age 60-64","Females","Number","5853"
"Population","2022","Kildare County Council","Age 60-64","Both Sexes","Number","11638"
"Population","2022","Kildare County Council","Age 65-69","Males","Number","4925"
"Population","2022","Kildare County Council","Age 65-69","Females","Number","5138"
"Population","2022","Kildare County Council","Age 65-69","Both Sexes","Number","10063"
"Population","2022","Kildare County Council","Age 70-74","Males","Number","3955"
"Population","2022","Kildare County Council","Age 70-74","Females","Number","4182"
"Population","2022","Kildare County Council","Age 70-74","Both Sexes","Number","8137"
"Population","2022","Kildare County Council","Age 75-79","Males","Number","2943"
"Population","2022","Kildare County Council","Age 75-79","Females","Number","2960"
"Population","2022","Kildare County Council","Age 75-79","Both Sexes","Number","5903"
"Population","2022","Kildare County Council","Age 80-84","Males","Number","1396"
"Population","2022","Kildare County Council","Age 80-84","Females","Number","1717"
"Population","2022","Kildare County Council","Age 80-84","Both Sexes","Number","3113"
"Population","2022","Kildare County Council","Age 85 and over","Males","Number","943"
"Population","2022","Kildare County Council","Age 85 and over","Females","Number","1561"
"Population","2022","Kildare County Council","Age 85 and over","Both Sexes","Number","2504"
"Population","2022","Kildare County Council","Total","Males","Number","123264"
"Population","2022","Kildare County Council","Total","Females","Number","124510"
"Population","2022","Kildare County Council","Total","Both Sexes","Number","247774"
"Population","2022","Kilkenny County Council","Age 0-4","Males","Number","2988"
"Population","2022","Kilkenny County Council","Age 0-4","Females","Number","2872"
"Population","2022","Kilkenny County Council","Age 0-4","Both Sexes","Number","5860"
"Population","2022","Kilkenny County Council","Age 5-9","Males","Number","3704"
"Population","2022","Kilkenny County Council","Age 5-9","Females","Number","3544"
"Population","2022","Kilkenny County Council","Age 5-9","Both Sexes","Number","7248"
"Population","2022","Kilkenny County Council","Age 10-14","Males","Number","4170"
"Population","2022","Kilkenny County Council","Age 10-14","Females","Number","3816"
"Population","2022","Kilkenny County Council","Age 10-14","Both Sexes","Number","7986"
"Population","2022","Kilkenny County Council","Age 15-19","Males","Number","3614"
"Population","2022","Kilkenny County Council","Age 15-19","Females","Number","3434"
"Population","2022","Kilkenny County Council","Age 15-19","Both Sexes","Number","7048"
"Population","2022","Kilkenny County Council","Age 20-24","Males","Number","2738"
"Population","2022","Kilkenny County Council","Age 20-24","Females","Number","2419"
"Population","2022","Kilkenny County Council","Age 20-24","Both Sexes","Number","5157"
"Population","2022","Kilkenny County Council","Age 25-29","Males","Number","2491"
"Population","2022","Kilkenny County Council","Age 25-29","Females","Number","2554"
"Population","2022","Kilkenny County Council","Age 25-29","Both Sexes","Number","5045"
"Population","2022","Kilkenny County Council","Age 30-34","Males","Number","2847"
"Population","2022","Kilkenny County Council","Age 30-34","Females","Number","2942"
"Population","2022","Kilkenny County Council","Age 30-34","Both Sexes","Number","5789"
"Population","2022","Kilkenny County Council","Age 35-39","Males","Number","3355"
"Population","2022","Kilkenny County Council","Age 35-39","Females","Number","3801"
"Population","2022","Kilkenny County Council","Age 35-39","Both Sexes","Number","7156"
"Population","2022","Kilkenny County Council","Age 40-44","Males","Number","3987"
"Population","2022","Kilkenny County Council","Age 40-44","Females","Number","4093"
"Population","2022","Kilkenny County Council","Age 40-44","Both Sexes","Number","8080"
"Population","2022","Kilkenny County Council","Age 45-49","Males","Number","3927"
"Population","2022","Kilkenny County Council","Age 45-49","Females","Number","3959"
"Population","2022","Kilkenny County Council","Age 45-49","Both Sexes","Number","7886"
"Population","2022","Kilkenny County Council","Age 50-54","Males","Number","3521"
"Population","2022","Kilkenny County Council","Age 50-54","Females","Number","3572"
"Population","2022","Kilkenny County Council","Age 50-54","Both Sexes","Number","7093"
"Population","2022","Kilkenny County Council","Age 55-59","Males","Number","3307"
"Population","2022","Kilkenny County Council","Age 55-59","Females","Number","3376"
"Population","2022","Kilkenny County Council","Age 55-59","Both Sexes","Number","6683"
"Population","2022","Kilkenny County Council","Age 60-64","Males","Number","3005"
"Population","2022","Kilkenny County Council","Age 60-64","Females","Number","3068"
"Population","2022","Kilkenny County Council","Age 60-64","Both Sexes","Number","6073"
"Population","2022","Kilkenny County Council","Age 65-69","Males","Number","2661"
"Population","2022","Kilkenny County Council","Age 65-69","Females","Number","2577"
"Population","2022","Kilkenny County Council","Age 65-69","Both Sexes","Number","5238"
"Population","2022","Kilkenny County Council","Age 70-74","Males","Number","2250"
"Population","2022","Kilkenny County Council","Age 70-74","Females","Number","2159"
"Population","2022","Kilkenny County Council","Age 70-74","Both Sexes","Number","4409"
"Population","2022","Kilkenny County Council","Age 75-79","Males","Number","1640"
"Population","2022","Kilkenny County Council","Age 75-79","Females","Number","1758"
"Population","2022","Kilkenny County Council","Age 75-79","Both Sexes","Number","3398"
"Population","2022","Kilkenny County Council","Age 80-84","Males","Number","984"
"Population","2022","Kilkenny County Council","Age 80-84","Females","Number","1126"
"Population","2022","Kilkenny County Council","Age 80-84","Both Sexes","Number","2110"
"Population","2022","Kilkenny County Council","Age 85 and over","Males","Number","694"
"Population","2022","Kilkenny County Council","Age 85 and over","Females","Number","1207"
"Population","2022","Kilkenny County Council","Age 85 and over","Both Sexes","Number","1901"
"Population","2022","Kilkenny County Council","Total","Males","Number","51883"
